nose_x,nose_y,left_eye_inner_x,left_eye_inner_y,left_eye_x,left_eye_y,left_eye_outer_x,left_eye_outer_y,right_eye_inner_x,right_eye_inner_y,right_eye_x,right_eye_y,right_eye_outer_x,right_eye_outer_y,left_ear_x,left_ear_y,right_ear_x,right_ear_y,mouth_left_x,mouth_left_y,mouth_right_x,mouth_right_y,left_shoulder_x,left_shoulder_y,right_shoulder_x,right_shoulder_y,left_elbow_x,left_elbow_y,right_elbow_x,right_elbow_y,left_wrist_x,left_wrist_y,right_wrist_x,right_wrist_y,left_pinky_x,left_pinky_y,right_pinky_x,right_pinky_y,left_index_x,left_index_y,right_index_x,right_index_y,left_thumb_x,left_thumb_y,right_thumb_x,right_thumb_y,left_hip_x,left_hip_y,right_hip_x,right_hip_y,left_knee_x,left_knee_y,right_knee_x,right_knee_y,left_ankle_x,left_ankle_y,right_ankle_x,right_ankle_y,left_heel_x,left_heel_y,right_heel_x,right_heel_y,left_foot_index_x,left_foot_index_y,right_foot_index_x,right_foot_index_y,nose_conf,left_eye_inner_conf,left_eye_conf,left_eye_outer_conf,right_eye_inner_conf,right_eye_conf,right_eye_outer_conf,left_ear_conf,right_ear_conf,mouth_left_conf,mouth_right_conf,left_shoulder_conf,right_shoulder_conf,left_elbow_conf,right_elbow_conf,left_wrist_conf,right_wrist_conf,left_pinky_conf,right_pinky_conf,left_index_conf,right_index_conf,left_thumb_conf,right_thumb_conf,left_hip_conf,right_hip_conf,left_knee_conf,right_knee_conf,left_ankle_conf,right_ankle_conf,left_heel_conf,right_heel_conf,left_foot_index_conf,right_foot_index_conf
1136.450,358.078,1142.967,345.828,1147.853,346.665,1153.119,347.205,1128.518,344.005,1122.730,344.565,1117.313,345.948,1155.531,354.358,1110.684,353.847,1144.237,371.120,1123.995,370.823,1182.997,438.159,1086.790,421.986,1240.049,515.895,1041.961,340.175,1181.563,569.321,1006.733,256.490,1158.929,577.122,995.734,238.518,1151.276,570.151,1000.981,232.294,1154.694,568.503,1006.930,237.335,1163.387,612.385,1123.015,616.581,1143.248,740.440,1141.235,738.678,1111.473,891.187,1175.715,869.234,1112.744,916.182,1184.902,887.374,1129.735,924.447,1171.040,919.128,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
1136.427,358.185,1143.047,346.187,1148.038,346.952,1153.292,347.550,1128.481,344.853,1122.733,345.486,1117.309,346.784,1155.250,354.669,1110.330,354.204,1144.317,371.259,1124.412,370.952,1181.222,438.325,1086.542,420.499,1237.409,514.969,1043.812,336.114,1181.025,570.042,1009.402,253.748,1158.644,578.811,996.726,236.188,1151.385,570.721,1001.548,230.564,1155.076,568.743,1008.370,235.634,1159.204,613.257,1118.542,617.091,1139.965,739.233,1141.297,737.935,1110.873,892.311,1180.745,865.560,1110.112,916.595,1189.577,884.069,1129.643,924.326,1175.870,916.233,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,0.971,0.982,0.983,0.993,0.977,0.989,0.979,0.989,0.970,0.984,1.000,1.000,0.781,0.879,0.778,0.886,0.696,0.780,0.854,0.885
1136.315,358.176,1143.082,346.402,1148.165,347.108,1153.418,347.765,1128.417,345.498,1122.729,346.185,1117.302,347.403,1155.029,354.892,1110.072,354.443,1144.328,371.305,1124.705,370.985,1179.739,438.489,1086.218,419.321,1235.172,514.289,1044.358,333.676,1180.468,570.680,1010.781,252.236,1158.351,580.216,996.759,234.747,1151.438,571.206,1001.389,229.491,1155.347,568.964,1008.947,234.793,1155.754,613.974,1114.689,617.532,1137.372,738.247,1141.574,737.369,1110.433,893.245,1185.165,862.467,1108.061,916.935,1193.599,881.235,1129.495,924.256,1180.576,913.684,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,0.971,0.971,0.983,0.992,0.977,0.988,0.979,0.989,0.970,0.984,1.000,1.000,0.747,0.799,0.766,0.820,0.687,0.725,0.849,0.832
1136.113,358.053,1143.073,346.474,1148.236,347.133,1153.498,347.849,1128.328,345.940,1122.719,346.664,1117.293,347.807,1154.870,355.027,1109.911,354.565,1144.268,371.257,1124.872,370.923,1178.548,438.649,1085.816,418.452,1233.338,513.856,1043.598,332.863,1179.891,571.235,1010.870,251.955,1158.051,581.337,995.831,234.196,1151.434,571.606,1000.503,229.076,1155.508,569.166,1008.663,234.811,1153.036,614.537,1111.455,617.906,1135.469,737.482,1142.067,736.981,1110.151,893.989,1188.975,859.955,1106.591,917.202,1196.969,878.873,1129.293,924.236,1185.158,911.481,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,0.968,0.961,0.982,0.991,0.975,0.987,0.978,0.988,0.968,0.982,1.000,1.000,0.722,0.726,0.756,0.759,0.678,0.674,0.844,0.781
1135.823,357.815,1143.019,346.403,1148.251,347.029,1153.531,347.804,1128.213,346.178,1122.704,346.921,1117.281,347.995,1154.773,355.075,1109.847,354.569,1144.138,371.117,1124.915,370.765,1177.648,438.807,1085.337,417.892,1231.907,513.669,1041.532,333.674,1179.294,571.708,1009.670,252.904,1157.742,582.173,993.943,234.535,1151.373,571.921,998.890,229.319,1155.557,569.350,1007.516,235.689,1151.052,614.945,1108.840,618.213,1134.255,736.938,1142.776,736.770,1110.028,894.541,1192.173,858.023,1105.704,917.397,1199.687,876.983,1129.035,924.267,1189.616,909.625,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,0.966,0.951,0.981,0.990,0.974,0.986,0.977,0.987,0.966,0.981,1.000,1.000,0.693,0.659,0.744,0.699,0.668,0.623,0.838,0.728
1135.773,357.604,1143.103,346.253,1148.364,346.805,1153.620,347.622,1128.179,346.422,1122.766,347.196,1117.320,348.245,1154.561,354.948,1109.796,354.657,1144.221,370.878,1125.126,370.568,1176.724,438.880,1084.789,417.222,1230.563,513.322,1039.129,334.237,1178.546,572.033,1008.971,252.460,1157.352,582.710,993.389,233.444,1151.231,572.128,998.279,227.828,1155.496,569.524,1007.209,235.046,1149.525,615.112,1106.502,618.507,1133.889,736.617,1144.094,736.778,1110.197,894.998,1194.878,856.507,1105.485,917.569,1201.308,875.630,1128.729,924.143,1195.171,907.678,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,0.959,0.941,0.978,0.988,0.971,0.984,0.974,0.985,0.961,0.978,1.000,1.000,0.663,0.598,0.728,0.642,0.654,0.574,0.830,0.678
1135.502,357.219,1143.112,346.042,1148.392,346.575,1153.743,347.378,1128.052,346.326,1122.750,347.073,1117.289,348.054,1154.550,354.767,1109.820,354.491,1144.229,370.588,1125.040,370.347,1176.469,438.885,1084.084,417.525,1230.300,513.423,1034.367,337.951,1177.992,572.170,1006.440,256.043,1157.087,582.691,990.691,235.103,1151.096,572.148,997.237,228.747,1155.346,569.615,1006.410,237.444,1149.334,615.064,1105.361,618.693,1134.852,736.746,1145.546,737.109,1110.592,895.073,1197.151,856.079,1106.188,917.558,1202.144,875.189,1128.341,924.396,1199.882,906.659,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,0.950,0.932,0.973,0.987,0.966,0.982,0.969,0.983,0.953,0.976,1.000,1.000,0.623,0.542,0.699,0.588,0.629,0.526,0.809,0.628
1134.528,356.468,1142.810,345.339,1148.219,345.957,1153.710,346.906,1127.711,345.631,1122.588,346.334,1117.171,347.241,1154.854,354.690,1109.936,353.879,1143.739,370.325,1124.419,369.986,1176.779,439.161,1083.300,418.284,1230.159,514.594,1027.531,346.194,1177.283,572.644,998.847,264.020,1156.747,582.856,983.047,240.534,1150.837,572.299,991.252,234.246,1154.968,569.752,1000.339,244.037,1149.716,615.193,1104.825,618.776,1135.069,736.782,1146.712,737.321,1110.820,894.960,1198.028,855.617,1106.936,917.490,1202.901,874.591,1127.788,924.958,1202.487,906.136,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,0.947,0.920,0.972,0.986,0.965,0.981,0.969,0.982,0.952,0.975,1.000,1.000,0.590,0.492,0.686,0.541,0.616,0.487,0.804,0.587
1132.333,355.327,1141.543,344.295,1147.058,345.114,1152.691,346.283,1126.995,344.481,1122.180,345.135,1116.907,345.935,1155.374,354.655,1110.284,352.809,1141.754,369.898,1122.871,369.203,1177.732,439.658,1082.391,419.840,1230.610,516.466,1018.223,358.083,1176.668,573.289,987.079,275.870,1156.479,583.230,969.952,250.964,1150.529,572.535,979.913,244.486,1154.586,569.897,988.684,254.612,1150.576,615.465,1104.164,618.832,1135.245,736.510,1146.804,737.727,1110.696,894.918,1201.061,855.444,1107.132,917.468,1206.770,873.661,1127.201,925.848,1205.614,906.137,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,0.944,0.911,0.971,0.984,0.964,0.979,0.968,0.980,0.950,0.972,1.000,1.000,0.561,0.447,0.670,0.497,0.602,0.449,0.795,0.546
1129.212,353.363,1139.538,342.766,1145.208,343.878,1150.938,345.441,1126.005,342.520,1121.610,343.059,1116.561,343.660,1155.959,354.678,1110.866,351.152,1138.547,368.990,1120.595,367.616,1178.872,440.168,1081.497,422.162,1231.712,518.300,1007.611,372.205,1176.394,573.864,968.821,291.836,1156.361,583.636,949.423,267.066,1150.231,572.751,960.117,260.085,1154.231,569.976,969.137,269.672,1151.292,615.823,1103.354,618.819,1135.519,736.486,1146.147,737.475,1110.598,894.879,1204.494,854.619,1107.133,917.642,1211.434,871.966,1127.165,926.905,1207.625,905.928,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,0.937,0.898,0.968,0.980,0.962,0.976,0.967,0.977,0.947,0.968,1.000,1.000,0.539,0.409,0.676,0.464,0.597,0.419,0.802,0.519
